V1,CORRELA_16,CORRELA_9,IDOJ1,IDAIO,CIMREP,BRUTA,CONSUI,GAS,EMPAQUE,HONORA,COMISION,ARRIENDO,SEGURO,ASEO,ENERGIA,COMUNICA,PUBLICO,FLETES,PUBLICI,ADECUA,REGALA,OUTSOURCING,OTROS,SUELDOS,PRESTAC,VENTA,AGREGA,PERREMUN,SOCIOS,PERSONOM,DIRECTO,AGENCIA,APRENDIZ,TOTPERSO,PROMUJ,PROHOM,PERMUJ,PERHOM,DIRMUJ,DIRHOM,AGEMUJ,AGEHOM,APRENMUJ,APRENHOM,TOTMUJ,TOTHOM,SUEPLAN,PREPLAN,REMPLAN,COTIZA,GASAGEN,REMTEMP,TOTREM,INVINI,INVFIN,ROTACION,INVPRO,CTO,CTOINS,VENTASNOP,GASTOS,GASTOSNOP,GASTOPNOP
987644,4711-472,471-472,11,1986,0,527999,83253,0,900,49033,0,0,0,120,6175,5608,754,7000,2880,1663,0,0,9120,96172,39815,4590159,444746,9,1,0,9,0,0,10,0,1,0,0,6,3,0,0,0,0,6,4,0,23345,0,14270.32,0,96172,110442.32,1221853,1192083,4062160,1206968,4062160,4062160,0,4168537,10358,4326154
987630,4711-472,471-472,11,2004,0,263591,115423.5,0,0,5827,0,69183,531,1056,25429,4092,1446,238,0,5948,0,0,1673.5,98999,51135,467398,148167.5,9,0,9,0,0,0,9,0,0,8,1,0,0,0,0,0,0,8,1,98999,23835,122834,24442.32,0,0,147276.32,8862,11012,203807,9937,203807,203807,0,323297,0,485368
987618,4711-472,471-472,11,1998,0,245672,27221,0,3200,4200,0,0,0,0,1,3037,1551,1,5910,1923,0,0,7398,88743,37234,3348287,218451,9,1,9,0,0,0,10,1,0,3,6,0,0,0,0,0,0,4,6,88743,22515,111258,12507,0,0,123765,30350,32453,3102615,31401.5,3102615,3102615,0,3152434,12516,3301140
987610,4711-472,471-472,11,2003,0,416111,106849,0,1621,11599,0,2256,0,1062,31178,5741,3928,12277,350,19302,0,0,17535,154280,74894,4561043,309262,15,0,15,0,0,0,15,0,0,4,11,0,0,0,0,0,0,4,11,154280,30959,185239,40480.92,0,0,225719.92,315600,371262,4144932,343431,4144932,4144932,0,4292186,18012,4557112
987608,4711-472,471-472,14,2008,0,2023895,559044,0,65406,66084,0,3000,0,2770,164395,12967,4461,55623,8194,121231,0,0,54913,503814,191584,16770387,1464851,49,0,0,49,0,2,51,0,0,0,0,31,18,0,0,1,1,32,19,0,105243,0,75305.08,0,488908,564213.08,119125,101536,14746492,110330.5,14746492,14746492,0,15449473,102074,16261047
987601,4711-472,471-472,11,1999,0,479961,25356.5,188,0,0,0,5299,0,1778,5345,3843,907,0,0,2204,0,0,5792.5,137394,56640,1597772,454604.5,10,0,0,10,0,0,10,0,0,0,0,4,6,0,0,0,0,4,6,0,32510,0,21037.68,0,137394,158431.68,75561,302827,1117811,189194,1117811,1117811,0,1150836,26698,1385096
987596,4711-472,471-472,14,1999,0,1017185,299259.5,0,7536,4849,0,0,0,1276,68162,2500,500,22459,9642,26778,0,143784,11773.5,449488,162414,4805325,717925.5,32,0,31,1,0,1,33,0,0,15,16,1,0,0,0,1,0,17,16,428946,52901,479706,95619.96,0,9936,585261.96,249556,80455,3788140,165005.5,3788140,3788140,0,4170749,0,4791280
987593,4711-472,471-472,11,2004,0,350612,44382,2232,11536,14086,0,0,0,0,4619,1811,2722,0,0,2106,0,0,5270,142701,57511,10053018,306230,11,0,3,8,0,0,11,0,0,3,0,4,4,0,0,0,0,7,4,51916,33182,63698,21110.12,0,90785,175593.12,1222335,1215650,9702406,1218992.5,9702406,9702406,0,9793846,9,10006248
987590,4711-472,471-472,11,1999,0,864894,156995,0,0,7800,0,0,25400,0,1440,8325,1024,0,0,53415,0,12865,46726,248434,91164,7384920,707899,24,0,0,24,0,1,25,0,0,0,0,1,23,0,0,1,0,2,23,0,52040,0,33938.4,0,238497,272435.4,205876,208436,6520026,207156,6520026,6520026,0,6985205,0,7352748
987587,4711-472,471-472,11,2006,0,447436,116602,0,13761,11772,0,27538,7200,2230,42653,2216,611,0,3745,4396,0,0,480,101030,41430,6250277,330834,10,0,10,0,0,0,10,0,0,4,6,0,0,0,0,0,0,4,6,101030,24154,125184,15007.44,0,0,140191.44,36896,30579,5802841,33737.5,5802841,5802841,0,5929886,960,6085144
987566,4711-472,471-472,11,2010,0,1071530,110464,0,307,0,0,0,7073,0,37830,4966,3114,9733,2710,8796,0,0,35935,198748,76529,8445117,961066,20,0,20,0,0,0,20,0,0,6,14,0,0,0,0,0,0,6,14,198748,44540,243288,27814.76,0,0,271102.76,404344,417822,7373587,411083,7373587,7373587,0,7550475,1167,7854664
987549,4711-472,471-472,14,1987,0,230182,90115.5,1,318,150,0,48000,0,0,27836,2327,4242,0,0,4727,0,0,2514.5,102509,37230,3540556,140066.5,10,1,10,0,0,0,11,1,0,7,3,0,0,0,0,0,0,8,3,102509,24394,126903,10540,0,0,137443,185559,301143,3310374,243351,3310374,3310374,0,3423109,5029,3579275
987547,4711-472,471-472,2,1987,0,345683,56147,0,11156,4850,0,0,3994,0,22510,4669,1645,4463,0,64,0,0,2796,99421,44900,2629324,289536,10,1,10,0,0,0,11,1,0,10,0,0,0,0,0,0,0,11, ,99421,27267,126688,15239.56,0,0,141927.56,750453,702000,2283641,726226.5,2283641,2283641,0,2359839,69753,2585492
986577,4711-472,471-472,14,2009,0,2308572,1934165,0,668,39919,0,289921,31575,77981,38452,48388,4684,338090,52092,65066,0,0,76672,615336,236228,23424916,374407,42,0,42,0,41,2,85,0,0,18,24,0,0,17,24,1,1,36,49,595464,134705,730169,88380.36,870657,0,818549.36,2330312,3112557,21116344,2721434.5,21116344,21116344,0,22297927,575997,24688527
986487,4711-472,471-472,14,2013,0,1836385,1163208,0,9002,21119,0,238249,5683,675,162000,2871,9000,0,2700,0,0,0,1000,0,0,6772027,673177,0,0,0,0,11,0,11,0,0,0,0,0,0,4,7,0,0,4,7,0,0,0,0,710909,0,0,35,50976,4935642,25505.5,4935642,4935642,0,5388941,0,6099850
986481,4711-472,471-472,11,2004,0,574277,222273,0,4670,0,0,120000,0,0,68024,2250,13425,7122,0,4365,0,0,2417,176843,70593,3215649,352004,18,0,18,0,0,1,19,0,0,4,14,0,0,0,0,1,0,5,14,170867,41344,212211,25393.4,0,0,237604.4,55550,58220,2641372,56885,2641372,2641372,0,2881464,0,3148714
986435,4711-472,471-472,14,2010,0,109870887.7,58820482.67,210951.6667,600588,7564274,483843,3392220.667,1240394.667,3828820.333,10383440.33,1285244.333,618692.3333,2875056.667,3020089,5906860,9509590,0,3296783.333,22441292.7,12365383.63,953064504.7,51050405,1025.333333,0,1017,8.333333333,272.6666667,57.66666667,1355.666667,0,0,434.3333333,582.6666667,6,2.333333333,110.6666667,162,32.66666667,25,583.6666667,772,21784838.37,6938611.967,28702745.33,4948041.773,4603634.333,86576.33333,33737363.44,89489610.67,102682207,843193617,96085908.83,843193617,843193617,0,908406236,7375701,960129299.7
986421,4711-472,471-472,3,2012,0,1262259,1064554,8258,71253,24400,0,243793,3056,91871,313419,32875,33142,106668,35384,47206,0,0,53229,331246,135312,5737541,197705,33,0,33,0,0,0,33,0,0,11,22,0,0,0,0,0,0,11,22,331246,68965,400211,60308.52,0,0,460519.52,56011,101518,4475282,78764.5,4475282,4475282,0,5628580,27792,6184332
986419,4711-472,471-472,14,2012,0,1328863,302189,2945,18456,15410,0,10456,22645,20784,184562,1874,4965,5845,6741,5456,0,0,2050,681060,302625,13772307,1026674,52,11,0,52,0,8,71,6,5,0,0,22,30,0,0,4,4,32,39,0,168456,0,117144.44,0,641311,758455.44,1006077,857271,12443444,931674,12443444,12443444,0,12787798,31393,13877021
