V1,CORRELA_16,CORRELA_9,IDOJ1,IDAIO,CIMREP,BRUTA,CONSUI,GAS,EMPAQUE,HONORA,COMISION,ARRIENDO,SEGURO,ASEO,ENERGIA,COMUNICA,PUBLICO,FLETES,PUBLICI,ADECUA,REGALA,OUTSOURCING,OTROS,SUELDOS,PRESTAC,VENTA,AGREGA,PERREMUN,SOCIOS,PERSONOM,DIRECTO,AGENCIA,APRENDIZ,TOTPERSO,PROMUJ,PROHOM,PERMUJ,PERHOM,DIRMUJ,DIRHOM,AGEMUJ,AGEHOM,APRENMUJ,APRENHOM,TOTMUJ,TOTHOM,SUEPLAN,PREPLAN,REMPLAN,COTIZA,GASAGEN,REMTEMP,TOTREM,INVINI,INVFIN,ROTACION,INVPRO,CTO,CTOINS,VENTASNOP,GASTOS,GASTOSNOP,GASTOPNOP
986551,451,451,14,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986525,451,451,5,2010,5322306,4656644,999649,0,0,168004,41297,43572,49160,50111,157219,65698,21350,86423,88960,132640,0,0,95215,1464358,687150,42514947,3656995,59,0,59,0,0,3,62,0,0,15,44,0,0,0,0,1,2,16,46,1434546,373893,1808439,271992.28,0,0,2080431.28,6734327,6915557,32535997.78,6824942,32535997,37858303,0,39597348,1804959,43682049
986446,451,451,5,2008,1832669,9192006,3074355,0,0,434353,1898,725786,38490,146421,294106,112907,25333,114316,721806,219272,0,0,239667,1462815.1,1117174.9,57200273,6117651,88,0,88,0,0,3,91,0,0,34,54,0,0,0,0,1,2,35,56,1435045.1,626431.9,2061477,425635.72,0,0,2487112.72,3482257,4765996,46175598.44,4124126.5,46175598,48008267,0,52108866,859971,55993158
986423,451,451,14,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986378,451,451,14,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986365,451,451,14,2011,31962,1228286,386476.5,0,0,45901,0,133864,17196,54473,36662,3098,4268,0,70987,5867,0,0,14160.5,375512,148691,8697513,841809.5,22,0,22,0,0,1,23,0,0,8,14,0,0,0,0,1,0,9,14,365575,85184,450759,54465.24,0,0,505224.24,1016571,843293,7437265.034,929932,7437265,7469227,0,7948027,177942,8667415
986315,451,451,14,1983,2443530,3020691,877412,2251,0,15310,30463,69636,28509,6037,70512,47526,6838,18695,6488,26565,0,0,52937,874205,494116,16464806,2143279,30,0,30,0,24,1,55,0,0,7,23,0,0,17,7,1,0,25,30,869236,287448,1156684,177593.92,495645,0,1334277.92,3491772,2662092,11000585.79,3076932,11000585,13444115,0,14159533,488123,16534123
986310,451,451,14,2010,140,1947329,412282.5,0,0,15015,0,138167,10568,1428,33051,12638,2384,289,35826,103600,0,0,59316.5,195354,77862,9050305,1535046.5,13,0,13,0,0,0,13,0,0,6,7,0,0,0,0,0,0,6,7,195354,45297,240651,28599.64,0,0,269250.64,1050605,894045,7102836,972325,7102836,7102976,0,7713914,129667,8140264
986176,451,451,5,1993,139510,8068144,2064733,1,0,84134,49422,459568,58343,216018,154175,14523,15310,73431,334436,53880,0,13568,332494,2774658.8,1246004.2,54802659,6003411,84,0,73,11,4,3,91,0,0,27,46,1,10,2,2,1,2,31,60,2433363.8,655228.2,3019084,509024.4,205430,313029,3841137.4,10477378,6828341,46595005.02,8652859.5,46595005,46734515,0,49740026,1017552,55142110
986002,451,451,5,2003,232154,530520,200163.5,418,0,2414,0,181376,0,0,2769,6897,2650,0,0,0,0,0,3639.5,197505,78142,1834266,330356.5,17,8,17,0,0,0,25,3,5,6,11,0,0,0,0,0,0,9,16,197505,45397,242902,28455.96,0,0,271357.96,873332,0,1071592.532,436666,1071592,1303746,0,1523389,92697,1893590
