V1,CORRELA_16,CORRELA_9,IDOJ1,IDAIO,CIMREP,BRUTA,CONSUI,GAS,EMPAQUE,HONORA,COMISION,ARRIENDO,SEGURO,ASEO,ENERGIA,COMUNICA,PUBLICO,FLETES,PUBLICI,ADECUA,REGALA,OUTSOURCING,OTROS,SUELDOS,PRESTAC,VENTA,AGREGA,PERREMUN,SOCIOS,PERSONOM,DIRECTO,AGENCIA,APRENDIZ,TOTPERSO,PROMUJ,PROHOM,PERMUJ,PERHOM,DIRMUJ,DIRHOM,AGEMUJ,AGEHOM,APRENMUJ,APRENHOM,TOTMUJ,TOTHOM,SUEPLAN,PREPLAN,REMPLAN,COTIZA,GASAGEN,REMTEMP,TOTREM,INVINI,INVFIN,ROTACION,INVPRO,CTO,CTOINS,VENTASNOP,GASTOS,GASTOSNOP,GASTOPNOP
987628,465,464-465,14,1982,108765,1614371,489684,0,0,86583,0,236591,9923,5355,9635,19062,4121,56274,22,22878,0,0,39240,449569,217493,5070984,1124687,18,1,0,18,0,1,20,1,0,0,0,8,10,0,0,1,0,10,10,0,108407,0,89426.08,0,441509,530935.08,631077,1194169,3347848.119,912623,3347848,3456613,0,4036905,261896,5000363
987620,465,464-465,14,2007,0,2221257,516453.5,145,329,74448,141918,133773,5838,15390,9908,24740,2876,15842,0,6207,0,0,85039.5,542287,204454,3487196,1704803.5,20,0,20,0,0,0,20,0,0,11,9,0,0,0,0,0,0,11,9,542287,109107,651394,81586.68,0,0,732980.68,1977343,1611760,1265939,1794551.5,1265939,1265939,0,1889576,161406,2899676
987553,465,464-465,14,2010,0,388852,136377,0,93,27612,0,27600,3393,5603,3188,6105,2243,4601,1295,12374,0,11900,30370,170774,73257,1598115,252475,11,1,4,7,0,0,12,1,0,2,2,3,4,0,0,0,0,6,6,65200,41634,81444,27710.28,0,105574,214728.28,270882,219820,1209263,245351,1209263,1209263,0,1391262,0,1647894
986600,465,464-465,14,2001,0,30646581,5915440.5,3772,0,228393,1230986,1348516,182143,76904,234073,283814,14567,175957,264306,274067,0,0,1566971.5,8966863,3973732,87233434,24731140.5,208,0,208,0,2,7,217,0,0,76,132,0,0,1,1,3,4,80,137,8894734,2076729,10971463,1616252.04,30971,0,12587715.04,9559505,10917959,56586853,10238732,56586853,56586853,0,65497237,5220495,83777039
986595,465,464-465,4,2003,0,868413,296803,0,0,34625,0,127728,11318,8693,12879,24157,2884,4667,0,8335,0,0,61517,179798,74981,2852306,571610,13,2,13,0,0,1,16,1,1,6,7,0,0,0,0,0,1,7,9,167928,41893,209821,29182.56,0,0,239003.56,1784685,1664674,1983893,1724679.5,1983893,1983893,0,2384559,158183,2819473
986568,465,464-465,14,2005,0,3305517,431750,1989,19811,46437,11906,33770,61945,17400,44430,18562,8682,76424,8907,46624,0,8682,7803,729638,305001,8701231,2873767,36,2,34,2,1,1,40,1,1,16,18,1,1,1,0,1,0,20,20,657406,183706,820278,116260.48,18378,62295,998833.48,105630,217014,5395714,161322,5395714,5395714,0,5943287,467658,7521149
986504,465,464-465,14,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986439,465,464-465,5,2009,0,6288750,1245880.5,525,1323,88566,0,305202,32625,7807,76797,58403,4163,484944,2500,117931,0,0,65094.5,1036662,461771,20613770,5042869.5,42,0,42,0,0,2,44,0,0,22,20,0,0,0,0,0,2,22,22,1026062,272740,1298802,165821.24,0,0,1464623.24,3881985,2742076,14325020,3312030.5,14325020,14325020,0,15726626,963557,18237417
986390,465,464-465,14,2002,0,3394251,513461.5,0,0,17197,17193,189892,15776,3589,36988,31921,7854,31775,38534,52726,0,0,70016.5,795880,454500,15668216,2880789.5,29,2,29,0,0,1,32,1,1,11,18,0,0,0,0,0,1,12,20,791384,241063,1032447,182177.24,0,0,1214624.24,2688136,3047509,12273965,2867822.5,12273965,12273965,0,12957977,0,14259785
986381,465,464-465,4,1985,0,815042,160590,0,0,36951,0,7050,5678,597,12561,7840,447,56081,0,1293,0,0,32092,328148,128675,4632959,654452,29,0,29,0,0,1,30,0,0,10,19,0,0,0,0,0,1,10,20,317264,73177,390441,48889.44,0,0,439330.44,665970,839621,3817917,752795.5,3817917,3817917,0,4059175,180706,4733115
986254,465,464-465,11,1998,0,1021481,263526.5,0,478,10731,3619,112887,3492,447,94538,4055,1479,125,994,7318,0,0,8213.5,199553,89337,3156833,757954.5,16,0,16,0,1,2,19,0,0,6,10,0,0,0,1,2,0,8,11,187711,45892,233603,39322.84,15150,0,272925.84,302094,357943,2135352,330018.5,2135352,2135352,0,2480089,163289,2965004
986209,465,464-465,14,2011,0,6118478,502249.5,0,0,41925,9465,21689,31388,1932,20685,24995,3012,33390,16562,126415,0,101136,69655.5,2046731,889545,31768269,5616228.5,86,0,86,0,0,2,88,0,0,38,48,0,0,0,0,1,1,39,49,2035386,484704,2520090,604742.92,0,0,3124832.92,238654,556307,25649791,397480.5,25649791,25649791,0,26573623,135678,29986615
986193,465,464-465,14,2013,0,4285295,679497,0,2150,51279,0,284942,22491,41903,13853,20045,9779,131063,10153,5885,0,0,85954,1399518,566625,13215828,3605798,55,0,55,0,0,2,57,0,0,26,29,0,0,0,0,1,1,27,30,1379368,346406,1725774,191421,0,0,1917195,5168854,6477348,8930533,5823101,8930533,8930533,0,9841482,727155,12586988
986171,465,464-465,14,1994,0,3347361,1163091,0,31280,100720,0,280270,4525,21110,16717,48842,9757,202476,91675,45657,0,71601,238461,906503,500849,9427638,2184270,32,0,18,14,0,1,33,0,0,6,12,6,8,0,0,1,0,13,20,676487,201728,830692,273577.16,0,223226,1327495.16,3429338,4612347,6080277,4020842.5,6080277,6080277,0,7642675,822629,10008455
986158,465,464-465,14,1996,0,969410,177506,0,0,12300,0,121990,0,520,8050,5648,900,980,0,0,0,0,27118,133312,105316,1562077,791904,8,0,8,0,0,0,8,0,0,6,2,0,0,0,0,0,0,6,2,133312,66656,199968,53674.08,0,0,253642.08,24658,30657,592667,27657.5,592667,592667,0,858276,890120,2016874
986155,465,464-465,5,2000,574301,5309621,1370409.5,0,0,118002,0,309804,15163,18661,24224,54826,8348,132891,190784,75307,0,0,422399.5,1384745,616370,11716701,3939211.5,75,0,50,25,0,2,77,0,0,6,44,10,15,0,0,0,2,16,61,1083270,328296,1343254,247034.96,0,286694,1876982.96,3617891,3387575,5832779.164,3502733,5832779,6407080,0,8348430,280612,10786390
986151,465,464-465,14,2004,0,16271536,5422486,151,29169,683109,0,914502,59322,199746,80963,159886,14360,467894,277320,477644,0,0,633619,3975366.4,1867246.6,31041630,10849050,102,0,71,31,36,1,139,0,0,49,22,15,16,19,17,1,0,84,55,3374477.4,1004301.6,4243029,744697.08,1424801,587141,5574867.08,10248511,6924153,14770094,8586332,14770094,14770094,0,20111130,4815016,33148646
986149,465,464-465,7,1995,0,20973580,9226159,0,0,3077386,0,534702,115040,143087,33859,154196,3388,1594055,0,1988724,0,183225,942032,2618173.1,1770679.9,38560342,11747421,54,0,54,0,8,5,67,0,0,6,48,0,0,2,6,0,5,8,59,2576954.1,1015790.9,3592745,881251.48,456465,0,4473996.48,26556515,30179395,17586762,28367955,17586762,17586762,0,27799432,9308859,43411205
986147,465,464-465,5,1995,97550,26640452,2950339,1679,0,151334,488610,244561,218159,7738,44717,122708,13621,258335,10489,170563,0,0,1217825,6074429,2849973,54428143,23690113,124,0,78,46,0,4,128,0,0,38,40,25,21,0,0,2,2,65,63,3619052,1400637,4459434,1207520.16,0,2412702,8079656.16,12619900,17415845,27690141.01,15017872.5,27690141,27787691,0,32822577,1159441,43040469
986145,465,464-465,4,1995,4530000,8017374,1057603,0,0,43695,298620,33600,40045,3644,1234,24792,3805,387872,0,62327,0,19197,138772,2088187,1195915,20027839,6959771,50,0,4,46,0,2,52,0,0,2,2,28,18,0,0,1,1,31,21,527432,521216,671504,604159.16,0,1547060,2822723.16,3579462,4074580,7480466.184,3827021,7480465,12010465,0,13468568,203258,17007705
986144,465,464-465,14,1995,34267,2383332,399830,0,34156,59083,0,81811,11727,0,5394,18352,1954,1896,100999,23454,0,0,61004,488666,215608,5223704,1983502,20,1,20,0,0,1,22,0,1,13,7,0,0,0,0,1,0,14,8,478729,100211,578940,92694.04,0,0,671634.04,1106690,1689753,2806105.025,1398221.5,2806105,2840372,0,3357826,246115,4329227
986139,465,464-465,14,1995,0,10004002,5719749.5,260,0,2646896,0,286180,30049,86817,15175,51471,3937,750152,8605,248317,0,0,237811.5,989945,498354,15750030,4284252.5,31,0,31,0,32,5,68,0,0,7,24,0,0,2,30,4,1,13,55,956805,192768,1149573,270698,1354079,0,1420271,3456692,4216132,5746028,3836412,5746028,5746028,0,10533455,125201,13588504
986138,465,464-465,14,1996,194196,5481686,1367430.5,0,0,32350,26656,222677,52812,56951,11903,93221,4822,246726,29130,46246,0,65285,411733.5,1538385,775612,10764277,4114255.5,31,0,31,0,4,1,36,0,0,8,23,0,0,0,4,0,1,8,28,1529897,374153,1904050,374353.76,66918,0,2278403.76,1170028,1227425,5088395.162,1198726.5,5088395,5282591,0,7193149,279206,10099475
986133,465,464-465,99,1996,1323313,12030370,2321002,0,0,768625,0,605876,86828,8653,27120,158012,3022,4135,8907,213658,0,0,436166,2547811,1197188,40280950,9709368,45,0,45,0,0,2,47,0,0,19,26,0,0,0,0,0,2,19,28,2532864,513359,3046223,683972.68,0,0,3730195.68,3450191,4043351,26927267.35,3746771,26927267,28250580,0,31544808,880208,36728689
986129,465,464-465,5,1996,0,17954251,3082172.5,0,0,383486,0,765533,12752,44064,27495,189988,2560,2965,192039,53111,0,937686,417544.5,6100608.9,3340340.1,63963824,14872078.5,103,0,103,0,3,7,113,0,0,33,70,0,0,1,2,5,2,39,74,6056574.9,1978129.1,8034704,1652012.76,52949,0,9686716.76,6917116,10569647,46009573,8743381.5,46009573,46009573,0,50308372,49305,60427642
986128,465,464-465,14,1996,0,6419121,1672737.5,518,0,602084,0,265461,20464,105098,18597,47433,3576,1918,24405,153428,0,0,288109.5,2302821.9,1248912.1,8818461,4746383.5,66,0,66,0,3,3,72,0,0,33,33,0,0,1,2,3,0,37,35,2289549.9,686179.1,2975729,489458.68,141646,0,3465187.68,8101806,8325481,2399340,8213643.5,2399340,2399340,0,4361751,492096,8976004
986119,465,464-465,4,1996,519347,4865395,1251274.5,0,0,307734,35169,13413,190405,24747,19488,78248,3181,163310,235,46748,0,175258,193338.5,1554208.9,762694.1,10396708,3614120.5,55,0,8,47,0,4,59,0,0,2,6,14,33,0,0,4,0,20,39,421535.9,410360.1,558420,306631.28,0,1106367,1971418.28,3700177,3696932,5011966.14,3698554.5,5011966,5531313,0,7158547,551984,10173030
986118,465,464-465,14,1997,888659,3667695,828948,0,0,159303,0,266604,23794,2276,7237,10270,2409,78788,50,33081,0,0,245136,712007.4,384863.6,7516372,2838747,24,0,24,0,0,1,25,0,0,4,20,0,0,0,0,0,1,4,21,707107.4,185787.6,892895,175581.76,0,0,1068476.76,1332379,1869792,2960018.555,1601085.5,2960018,3848677,0,5086811,871687,7345057
986116,465,464-465,4,1997,0,727613,120122,56,0,20289,0,3637,7683,94,3534,14795,939,19609,0,22118,0,634,26734,213084,110100,2296617,607491,4,1,4,0,0,0,5,0,1,1,3,0,0,0,0,0,0,1,4,213084,61958,275042,40783.6,0,0,315825.6,901237,857251,1569004,879244,1569004,1569004,0,1770675,187101,2282998
986109,465,464-465,14,1998,0,31023426,6087490.5,1992,298134,309705,0,1287848,10302,251897,59961,68265,23980,1698189,510360,668093,0,0,872793.5,3481517,1639865,96572882,24935935.5,127,0,123,4,1,2,130,0,0,65,58,4,0,1,0,1,1,71,59,3412484,879896,4280237,648177.88,25971,51643,4980057.88,19431560,22348586,65549456,20890073,65549456,65549456,0,73646521,3180469,82470662
986108,465,464-465,4,1996,0,2468096,475792.5,309,0,54603,0,100010,27719,13840,8631,81141,8703,19981,47442,8971,0,0,104442.5,791339,401709,16709628,1992303.5,31,0,31,0,0,1,32,0,0,23,8,0,0,0,0,0,1,23,9,777014,225057,1002071,150243.52,0,0,1152314.52,384300,489295,14241532,436797.5,14241532,14241532,0,15093361,290734,16760826
986101,465,464-465,5,1998,0,1769117,419938.5,0,0,82659,0,23727,16705,1177,8501,144517,6376,2324,2615,57535,0,0,73802.5,420279,196136,5483786,1349178.5,17,0,17,0,0,1,18,0,0,9,8,0,0,0,0,0,1,9,9,413960,97052,511012,84845.44,0,0,595857.44,672121,631385,3714669,651753,3714669,3714669,0,4358746,349327,5367785
986097,465,464-465,4,1999,0,4775374,1723595.5,12774,0,759176,0,8774,251116,5893,38746,118091,36745,257902,0,196400,0,20926,17052.5,558047,267196,10873301,3051778.5,29,0,29,0,0,1,30,0,0,15,14,0,0,0,0,1,0,16,14,547218,119447,666665,135491.16,0,0,802156.16,262790,222870,6097927,242830,6097927,6097927,0,7988685,0,8866957
