V1,CORRELA_16,CORRELA_9,IDOJ1,IDAIO,CIMREP,BRUTA,CONSUI,GAS,EMPAQUE,HONORA,COMISION,ARRIENDO,SEGURO,ASEO,ENERGIA,COMUNICA,PUBLICO,FLETES,PUBLICI,ADECUA,REGALA,OUTSOURCING,OTROS,SUELDOS,PRESTAC,VENTA,AGREGA,PERREMUN,SOCIOS,PERSONOM,DIRECTO,AGENCIA,APRENDIZ,TOTPERSO,PROMUJ,PROHOM,PERMUJ,PERHOM,DIRMUJ,DIRHOM,AGEMUJ,AGEHOM,APRENMUJ,APRENHOM,TOTMUJ,TOTHOM,SUEPLAN,PREPLAN,REMPLAN,COTIZA,GASAGEN,REMTEMP,TOTREM,INVINI,INVFIN,ROTACION,INVPRO,CTO,CTOINS,VENTASNOP,GASTOS,GASTOSNOP,GASTOPNOP
986644,4771,476 - 477,11,2004,0,3587685,720638.5,0,3246,0,0,176139,2659,72744,280378,7741,5711,1783,40728,9977,1101,0,118431.5,1101067,457135,10974869,2867046.5,90,1,0,90,0,2,93,0,1,0,0,55,35,0,0,1,1,56,37,0,267446,0,164703.48,0,1082821,1247524.48,13581076,15531007,7387184,14556041.5,7387184,7387184,0,8369803,689573,10730476
986633,4771,476 - 477,11,2004,0,970061,151650.5,0,0,22300,0,28808,0,0,6230,4087,315,123,2034,84707,0,0,3046.5,308752,114564,3969152,818410.5,30,0,30,0,0,1,31,0,0,17,13,0,0,0,0,1,0,18,13,299652,63977,363629,44073.08,0,0,407702.08,3686448,4206542,2999091,3946495,2999091,2999091,0,3198750,136915,3792781
986631,4771,476 - 477,11,2007,0,1515021,576239,0,0,0,0,315806,2519,3345,200638,9035,6105,199,0,20074,756,0,17762,473994,199422,2986829,938782,44,1,0,44,0,2,47,0,1,0,0,26,18,0,0,2,0,28,19,0,117027,0,72141.96,0,453209,525350.96,6407705,6873745,1471808,6640725,1471808,1471808,0,2123329,82737,2930291
986624,4771,476 - 477,5,1992,0,17887248,7054773.5,0,452037,150043,0,1373703,130149,426247,1248030,64474,39419,122366,134963,1751037,15147,0,1139508.5,2727874,1093205,47125304,10832474.5,206,0,206,0,1,8,215,0,0,110,96,0,0,1,0,6,2,117,98,2637281,630725,3268006,402868,7650,0,3670874,3844887,3045035,29238056,3444961,29238056,29238056,0,38365657,1710390,44164215
986617,4771,476 - 477,14,1996,0,6231936,2764090,0,120900,6511,0,2081676,31365,11315,269429,12299,4021,30744,104646,40296,23103,0,27785,858401,336222,16888714,3467846,54,0,3,51,0,3,57,0,0,2,1,45,6,0,0,3,0,50,7,269962,190941,332053,126685.08,0,560220,1018958.08,48000,88122,10656778,68061,10656778,10656778,0,13629457,99199,15031979
986599,4771,476 - 477,14,2001,0,730580,360310.5,0,0,13800,0,194494,0,0,58450,13722,4959,17077,1200,11794,0,0,44814.5,199974,76692,2262968,370269.5,20,0,0,20,0,0,20,0,0,0,0,18,2,0,0,0,0,18,2,0,43654,0,28559.12,0,199974,228533.12,28661,62875,1532388,45768,1532388,1532388,0,1961746,0,2255742
986593,4771,476 - 477,14,2003,0,30525339,13382237,0,270422,325095,0,5296081,267480,209014,3146116,133385,156351,96298,916744,170899,0,0,625852,9323108,4179163,61624105,17143102,728,0,728,0,101,20,849,0,0,400,328,0,0,63,38,20,0,483,366,9125464,2257992,11383456,1705287.64,1768500,0,13088743.64,39140446,31575432,31098766,35357939,31098766,31098766,0,44458505,1946015,63144575
986587,4771,476 - 477,14,2004,0,6528802,2870066.5,0,0,149092,0,1761161,31579,28775,291770,55642,8906,140129,5380,171437,0,0,204255.5,1104651,474806,19346323,3658735.5,66,0,28,38,1,3,70,0,0,18,10,24,14,0,1,0,3,42,28,582543,270679,744609,178313.24,21940,497541,1420463.24,1097038,948606,12817521,1022822,12817521,12817521,0,16147120,280351,18144945
986567,4771,476 - 477,14,2005,0,51938403,29489993,23,909733,259883,977804,17783323,275491,49769,2000040,284592,14420,738382,2665840,266088,0,0,2999817,9852652,3925767,100198216,22448410,460,0,460,0,15,23,498,0,0,340,120,0,0,9,6,14,9,363,135,9660243,2581020,12241263,1160159.24,264788,0,13401422.24,66957641,48259813,48259813,57608727,48259813,48259813,0,81755170,9987739,106432848
986492,4771,476 - 477,14,2012,0,753029,369914,0,0,4500,0,131677,0,195499,24256,1210,1256,0,0,8487,0,0,3029,1334658,507170,3479938,383115,116,0,109,7,0,0,116,0,0,50,59,3,4,0,0,0,0,53,63,1223330,293625,1492463,183648.84,0,111328,1787439.84,1428251,298530,2726909,863390.5,2726909,2726909,0,3114890,2325,5020232
986441,4771,476 - 477,14,2009,0,1801443,773011.5,0,54782,25415,21253,282841,11920,40133,202425,14123,4519,11908,9628,88898,0,0,5166.5,623456,256186,5516031,1028431.5,50,0,0,50,0,3,53,0,0,0,0,34,16,0,0,3,0,37,16,0,146827,0,95091.88,0,591848,686939.88,1397270,1294995,3714588,1346132.5,3714588,3714588,0,4541879,60587,5559671
986417,4771,476 - 477,14,2013,0,1652381,253490,20,0,0,0,91605,0,0,43222,286,5423,91200,14132,102,0,0,7500,253122,124702,3380906,1398891,22,2,22,0,0,2,26,1,1,10,12,0,0,0,0,1,1,12,14,234372,63595,297967,53905.4,0,0,351872.4,1374224,1047427,1728525,1210825.5,1728525,1728525,0,2011658,326,2481128
