V1,CORRELA_16,CORRELA_9,IDOJ1,IDAIO,CIMREP,BRUTA,CONSUI,GAS,EMPAQUE,HONORA,COMISION,ARRIENDO,SEGURO,ASEO,ENERGIA,COMUNICA,PUBLICO,FLETES,PUBLICI,ADECUA,REGALA,OUTSOURCING,OTROS,SUELDOS,PRESTAC,VENTA,AGREGA,PERREMUN,SOCIOS,PERSONOM,DIRECTO,AGENCIA,APRENDIZ,TOTPERSO,PROMUJ,PROHOM,PERMUJ,PERHOM,DIRMUJ,DIRHOM,AGEMUJ,AGEHOM,APRENMUJ,APRENHOM,TOTMUJ,TOTHOM,SUEPLAN,PREPLAN,REMPLAN,COTIZA,GASAGEN,REMTEMP,TOTREM,INVINI,INVFIN,ROTACION,INVPRO,CTO,CTOINS,VENTASNOP,GASTOS,GASTOSNOP,GASTOPNOP
986613,454,453-454,14,1997,0,4328751,1265245,0,17443,25365,286743,365728,9056,99937,52908,48256,4670,32690,8394,108451,0,0,59764,557993,229093,14555793,3063506,26,0,22,4,9,2,37,0,0,3,19,3,1,2,7,2,0,10,27,471138,137223,587122,80085.92,145840,72060,739267.92,13671074,13591156,10227042,13631115,10227042,10227042,0,11572443,32605,12562918
986408,454,453-454,4,1992,60687,459268,227255.5,0,0,52472,0,35000,8781,4059,21466,6712,1218,802,0,7432,0,34466,22420.5,174816,82734,1346403,232012.5,12,0,12,0,2,0,14,0,0,6,6,0,0,2,0,0,0,8,6,174816,47071,221887,30796.6,32427,0,252683.6,199198,179838,826448.3202,189518,826448,887135,0,1128997,31488,1512158
986405,454,453-454,14,2005,77668,1788128,282798.5,458,0,84490,16321,9250,5963,14400,21525,20025,9652,36987,13652,31582,0,0,18493.5,127381,46311,7841394,1505329.5,9,0,9,0,0,0,9,0,0,4,5,0,0,0,0,0,0,4,5,127381,29497,156878,13960.8,0,0,170838.8,948597,952370,5975598.082,950483.5,5975598,6053266,0,6425053,44175,6650775
986384,454,453-454,14,2004,0,1614186,1109823,36,0,20445,0,260543,31798,16605,24936,16980,2903,30753,49949,23153,0,298530,34662,400807,160377,8226481,504363,22,0,22,0,16,1,39,0,0,8,14,0,0,9,7,0,1,17,22,390336,93680,484016,57762.76,298530,0,541778.76,1538111,844387,6612295,1191249,6612295,6612295,0,7500840,131227,8515474
986359,454,453-454,14,2013,0,506838,144020,4,3406,113492,0,0,7682,1605,5775,3459,204,419,0,1589,0,0,6385,228214,145679,2196820,362818,9,1,6,3,0,0,10,0,1,3,3,0,3,0,0,0,0,3,7,189963,64598,246052,74699.24,0,38251,359002.24,2573448,2532039,1689982,2552743.5,1689982,1689982,0,1859359,0,2236351
986353,454,453-454,11,1985,0,368102,32938.5,0,0,13800,0,0,3530,711,7291,3954,1591,0,0,0,0,0,2061.5,162038,72603,1483792,335163.5,14,0,14,0,0,0,14,0,0,1,13,0,0,0,0,0,0,1,13,162038,38045,200083,30887.2,0,0,230970.2,1108265,1280040,1115690,1194152.5,1115690,1115690,0,1177567,3409,1430267
986340,454,453-454,14,2004,0,6096968,2960808,33,0,203319,781,872529,68722,147948,155789,194151,10325,71620,195905,213903,0,0,250047,1394012,558586,32449085,3136160,76,0,76,0,35,4,115,0,0,44,32,0,0,10,25,1,3,55,60,1353784,321409,1675193,206348.44,575736,0,1881541.44,3967687,3227074,26352117,3597380.5,26352117,26352117,0,29421771,525557,32638637
986329,454,453-454,14,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986326,454,453-454,11,1990,0,700127,161662.5,0,0,0,0,99036,15546,4250,15893,8211,1309,1373,1273,5516,0,0,9255.5,110384,48890,3042463,538464.5,9,0,9,0,0,0,9,0,0,7,2,0,0,0,0,0,0,7,2,110384,28722,139106,17449.2,0,0,156555.2,1200357,1228221,2342336,1214289,2342336,2342336,0,2533885,195539,2897366
986312,454,453-454,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
