V1,CORRELA_16,CORRELA_9,IDOJ1,IDAIO,CIMREP,BRUTA,CONSUI,GAS,EMPAQUE,HONORA,COMISION,ARRIENDO,SEGURO,ASEO,ENERGIA,COMUNICA,PUBLICO,FLETES,PUBLICI,ADECUA,REGALA,OUTSOURCING,OTROS,SUELDOS,PRESTAC,VENTA,AGREGA,PERREMUN,SOCIOS,PERSONOM,DIRECTO,AGENCIA,APRENDIZ,TOTPERSO,PROMUJ,PROHOM,PERMUJ,PERHOM,DIRMUJ,DIRHOM,AGEMUJ,AGEHOM,APRENMUJ,APRENHOM,TOTMUJ,TOTHOM,SUEPLAN,PREPLAN,REMPLAN,COTIZA,GASAGEN,REMTEMP,TOTREM,INVINI,INVFIN,ROTACION,INVPRO,CTO,CTOINS,VENTASNOP,GASTOS,GASTOSNOP,GASTOPNOP
987597,453,453-454,14,2004,782913,660070,101340.5,135,0,25440,0,41600,8786,135,14328,1015,987,5417,130,0,0,0,3367.5,101376,44332,1778517,558729.5,6,4,6,0,0,0,10,2,2,0,6,0,0,0,0,0,0,2,8,101376,24045,125421,17134.76,0,0,142555.76,35420,21850,335561.3411,28635,335534,1118447,0,1224692,14267,1386731
986620,453,453-454,14,1994,463422,1275938,194336,0,0,59288,0,56800,4766,3800,28900,13794,12521,5747,2800,1468,0,0,4452,626907,396263,5298954,1081602,60,0,47,13,0,3,63,0,0,13,34,3,10,0,0,0,3,16,47,467453,225343,638714,148928.8,0,138473,926115.8,682611,812690,3559594.62,747650.5,3559594,4023016,0,4274877,91672,5469945
986565,453,453-454,14,2006,0,8164710,2977036,564,1223,180416,434,524077,44743,12659,109453,79188,27903,103364,84870,80101,0,0,245335,1130734,428947,27370087,5187674,56,0,56,0,44,1,101,0,0,24,32,0,0,16,28,1,0,41,60,1122773,240943,1363716,165750.16,1482706,0,1529466.16,3069923,42775404,19205377,22922663.5,19205377,19205377,0,21363111,1317189,25818599
986546,453,453-454,14,2008,0,22639,72669.5,0,0,0,0,6000,3157,1855,2430,6373,432,390,85,2646,0,0,9365.5,9196,4109,164692,-50030.5,1,0,1,0,2,0,3,0,0,0,1,0,0,0,2,0,0, ,3,9196,2189,11385,1714.48,39936,0,13099.48,916821,47000,142053,481910.5,142053,142053,0,190065,62,244426
986416,453,453-454,14,2013,0,804557,108213,1119,0,1494,0,18948,0,1562,9806,10563,2825,16779,0,39617,0,0,5500,199545,78752,2494389,696344,15,0,15,0,0,0,15,0,0,7,8,0,0,0,0,0,0,7,8,199545,42744,242289,31604.72,0,0,273893.72,742448,1129504,1689832,935976,1689832,1689832,0,1863411,101415,2258900
986328,453,453-454,11,1988,0,6642007,674445,1790,0,28218,3472,113138,53839,4713,79012,64132,8471,237607,15571,28711,0,0,35771,1052798,415461,28362727,5967562,78,2,78,0,0,3,83,1,1,18,60,0,0,0,0,2,1,21,62,1020118,227322,1247440,165637.08,0,0,1413077.08,5084141,3364977,21720720,4224559,21720720,21720720,0,22593127,75603182,99775908
986243,453,453-454,11,1994,0,395351,115975.5,3647,989,8750,46607,21840,3600,1436,12445,7445,721,2550,0,2756,0,0,3189.5,240539,95261,1692430,279375.5,19,0,19,0,0,1,20,0,0,5,14,0,0,0,0,0,1,5,15,235570,52654,288224,37330.12,0,0,325554.12,549945,505267,1297079,527606,1297079,1297079,0,1467366,53004,1876353
986207,453,453-454,14,1991,0,6029,10479.5,0,0,0,0,1,0,1059,1,1,1,478,0,135,0,0,8803.5,6352,844,33682,-4450.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1, ,0,0,0,844,0,0,844,27653,0,27653,13826.5,27653,27653,0,47304,2262,56762
986143,453,453-454,14,1995,0,2133233,204976,279,11596,27676,0,0,19678,3271,25689,23906,3130,15070,47,20964,0,0,53670,720845,310101,8507619,1928257,31,0,31,0,0,1,32,0,0,3,28,0,0,0,0,0,1,3,29,712565,173099,885664,120144.88,0,0,1005808.88,1120962,1222567,6374386,1171764.5,6374386,6374386,0,6792888,327678,8221641
986112,453,453-454,14,1997,0,8404729,3214972,0,152428,296195,0,849573,12805,126393,19491,89671,22412,1047876,39172,58157,0,0,254944,2077224,902577,32465265,5189757,62,0,49,13,12,1,75,0,0,14,35,3,10,7,5,1,0,25,50,1739367,487408,2149250,361579.24,245855,328917,2839746.24,12175045,18156784,24060536,15165914.5,24060536,24060536,0,27563980,3489229,34393675
986092,453,453-454,14,1999,0,3073524,578921,0,7000,35000,120000,245000,5000,12000,35635,7000,6548,65000,15432,12000,0,0,13306,353919,127038,5528731,2494603,32,0,7,25,0,1,33,0,0,5,2,8,17,0,0,0,1,13,20,77684,76509,94642,43628.68,0,272923,411193.68,1198425,803520,2455207,1000972.5,2455207,2455207,0,3175434,206751,3899238
986077,453,453-454,14,2000,248725,15979221,5931995,0,0,273379,0,138153,119257,22257,44090,334159,4154,1419934,1465352,16282,0,0,1350708,3884319.8,1888175.2,61776368,10047226,93,4,93,0,27,3,127,1,3,37,56,0,0,8,19,2,1,48,79,3850670.8,1061677.2,4912348,710830.56,744270,0,5623178.56,32961347,35990374,45548422.01,34475860.5,45548422,45797147,0,53132719,4281248,64331740
985969,453,453-454,14,2004,0,92442,92816,0,1613,12046,0,47986,5284,3520,3111,1105,539,3618,530,7375,0,0,6089,78338,30954,330229,-374,10,0,10,0,0,0,10,0,0,3,7,0,0,0,0,0,0,3,7,78338,16745,95083,12461.8,0,0,107544.8,701984,584104,237787,643044,237787,237787,0,341842,23863,482479
985961,453,453-454,5,2004,0,1753827,794738,346,0,35426,176399,340214,42442,5549,14625,22740,6594,60013,0,31703,0,12516,46171,199823,87425,5265203,959089,16,2,16,0,0,3,21,0,2,8,8,0,0,0,0,2,1,10,11,193267,48891,242158,34225.36,0,0,276383.36,3318847,3407161,3511376,3363004,3511376,3511376,0,4421601,397225,5170754
985919,453,453-454,5,1978,0,1075779,125509.5,0,0,45337,0,0,12788,32186,2173,3759,71,12523,1022,8870,0,0,6780.5,242216,91367,4782442,950269.5,14,0,14,0,0,0,14,0,0,4,10,0,0,0,0,0,0,4,10,242216,51769,293985,34551.28,0,0,328536.28,5323272,3133023,3706663,4228147.5,3706663,3706663,0,3878026,371951,4608466
985848,453,453-454,5,2005,0,5764342,2981374.5,0,0,119452,0,562519,70895,30534,14796,58398,10117,899619,896438,70824,35467,0,212315.5,1391690,655563,23898888,2782967.5,46,0,46,0,0,2,48,0,0,20,26,0,0,0,0,1,1,21,27,1371818,319033,1690851,288139.84,0,0,1978990.84,6337047,7093863,18134546,6715455,18134546,18134546,0,21575111,4228574,28267284
985840,453,453-454,14,2006,0,2257810,111584.5,13,0,22161,0,0,17722,1187,0,12680,2557,0,2794,13721,0,0,38749.5,476004,208875,4331860,2146225.5,23,0,23,0,0,0,23,0,0,12,11,0,0,0,0,0,0,12,11,476004,113161,589165,82710.8,0,0,671875.8,2755293,4836763,2074050,3796028,2074050,2074050,0,2272234,325802,3358652
985698,453,453-454,14,2009,0,2246566,471340.5,0,0,69591,14235,42501,7211,3957,6482,10854,2454,9143,3192,16594,0,0,285126.5,534281,225469,11747000,1775225.5,18,0,18,0,0,1,19,0,0,7,11,0,0,0,0,0,1,7,12,524080,122882,646962,90377.32,0,0,737339.32,2684193,4324825,9500434,3504509,9500434,9500434,0,10411661,2500,11189076
985622,453,453-454,14,2010,0,6230448,3251472.5,411,0,218885,1286010,434642,52442,19557,29789,53388,6954,656384,334000,10799,0,0,148211.5,1849939,818430,31533193,2978975.5,78,0,75,3,0,2,80,0,0,34,41,2,1,0,0,1,1,37,43,1791000,442265,2224165,326602.2,0,40298,2591065.2,7767773,97436890,25302745,52602331.5,25302745,25302745,0,28969961,464851,32818559
985617,453,453-454,14,2010,384870,2380335,744948.5,4781,0,165456,0,280483,68027,28266,9361,11240,3047,106163,2050,20644,0,0,45430.5,360570.7,193777.3,9186256,1635386.5,29,0,29,0,0,1,30,0,0,4,25,0,0,0,0,0,1,4,26,352813.7,119916.3,472730,62394.44,0,0,535124.44,2277054,2475522,6421051.162,2376288,6421051,6805921,0,7702924,0,8322093
985592,453,453-454,14,2010,0,3022794,500581,240,1967,22152,3873,96847,15647,3890,17553,33657,5516,97115,97549,32860,0,0,71715,813285,356588,9049539,2522213,27,1,27,0,0,1,29,0,1,7,20,0,0,0,0,1,0,8,21,805203,183038,988241,151346,0,0,1139587,1778628,1771731,6026745,1775179.5,6026745,6026745,0,6762646,637804,8617795
985575,453,453-454,14,2011,0,1670527,190045,0,714,10559,0,56995,14173,2413,3841,15745,949,42231,4229,9434,47,0,28715,277187,111081,4337538,1480482,20,0,20,0,0,0,20,0,0,5,15,0,0,0,0,0,0,5,15,277187,64243,341430,40599.6,0,0,382029.6,1422415,2193218,2667011,1807816.5,2667011,2667011,0,2967707,82670,3566639
985502,453,453-454,14,2011,0,1173268,134449.5,62,683,30309,0,63324,1642,1065,7010,14562,4112,2022,1886,642,0,3362,3768.5,413709,170145,4896834,1038818.5,35,0,35,0,0,1,36,0,0,9,26,0,0,0,0,0,1,9,27,409441,93192,502633,67794.2,0,0,570427.2,2554935,2460368,3723566,2507651.5,3723566,3723566,0,3914448,199124,4734206
985400,453,453-454,11,2002,597625,2325423,408072,0,0,3650,0,161403,92747,6709,36839,32076,12440,37553,12250,8959,0,0,3446,760701,322983,7919211,1917351,48,1,0,48,0,2,51,1,0,0,0,23,25,0,0,1,1,25,26,0,185401,0,121516.16,0,745429,866945.16,2954891,2475035,4996163.22,2714963,4996163,5593788,0,6057034,178465,7376930
985242,453,453-454,14,1994,0,477000,433473.5,232,1244,46305,0,0,2611,1842,10481,46537,2949,28865,0,9135,0,264000,19272.5,226500,99000,1367000,43526.5,8,0,8,0,0,0,8,0,0,3,5,0,0,0,0,0,0,3,5,226500,55000,281500,38960,0,0,320460,1209161,1076465,890000,1142813,890000,890000,0,1374446,187698,1908058
985148,453,453-454,14,2011,0,3433623,931465.5,0,0,50091,24838,447214,3289,14686,44302,44007,12757,122977,51966,34159,0,0,81179.5,1061557,384050,16444752,2502157.5,51,0,47,4,0,2,53,0,0,24,23,3,1,0,0,1,1,28,25,1005007,215796,1212261,148206.56,0,41470,1401937.56,3196811,2814248,13011129,3005529.5,13011129,13011129,0,14123598,380478,16211935
985117,453,453-454,14,2001,0,373500,69735,0,0,11060,11550,0,3461,0,0,0,214,158,393,9110,0,0,3500,36054,16623,820373,303765,3,0,0,3,1,0,4,0,0,0,0,1,2,0,1,0,0,1,3,0,10089,0,5652.56,30289,36054,41706.56,667818,782994,446873,725406,446873,446873,0,496280,126277,708727
985075,453,453-454,11,1994,0,1293811,358211,9,0,25170,0,218572,19787,8855,9366,17145,2300,39980,0,2853,0,0,14174,369259,139130,5051772,935600,24,0,24,0,0,2,26,0,0,7,17,0,0,0,0,0,2,7,19,349384,84009,433393,47468.6,0,0,480861.6,1588247,1010408,3757961,1299327.5,3757961,3757961,0,4203640,81999,4836316
985071,453,453-454,11,1989,0,21987,21271.5,0,0,1300,0,8500,0,125,450,800,275,0,0,0,0,0,91.5,0,0,139869,715.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0, ,1,0,0,0,0,9730,0,0,117882,0,117882,58941,117882,117882,0,129858,0,139588
