V1,CORRELA_16,CORRELA_9,IDOJ1,IDAIO,CIMREP,BRUTA,CONSUI,GAS,EMPAQUE,HONORA,COMISION,ARRIENDO,SEGURO,ASEO,ENERGIA,COMUNICA,PUBLICO,FLETES,PUBLICI,ADECUA,REGALA,OUTSOURCING,OTROS,SUELDOS,PRESTAC,VENTA,AGREGA,PERREMUN,SOCIOS,PERSONOM,DIRECTO,AGENCIA,APRENDIZ,TOTPERSO,PROMUJ,PROHOM,PERMUJ,PERHOM,DIRMUJ,DIRHOM,AGEMUJ,AGEHOM,APRENMUJ,APRENHOM,TOTMUJ,TOTHOM,SUEPLAN,PREPLAN,REMPLAN,COTIZA,GASAGEN,REMTEMP,TOTREM,INVINI,INVFIN,ROTACION,INVPRO,CTO,CTOINS,VENTASNOP,GASTOS,GASTOSNOP,GASTOPNOP
987595,4773,476 - 477,14,1989,0,754559,273028,11357,1887,14400,0,105502,7150,2618,30273,4976,15161,7816,55750,6194,0,0,9944,438101,147142,2861304,481531,32,0,0,32,0,0,32,0,0,0,0,22,10,0,0,0,0,22,10,0,93950,0,45598.4,0,438101,483699.4,150755,41430,2106745,96092.5,2106745,2106745,0,2391853,19888,3027254
987582,4773,476 - 477,11,2012,0,962239,168577,21,1673,2450,0,114501,2949,2705,11730,11140,4891,4459,7305,1301,0,0,3452,191045,82628,1882142,793662,11,1,11,0,0,0,12,1,0,7,4,0,0,0,0,0,0,8,4,191045,47562,238607,30171.6,0,0,268778.6,131868,579345,919903,355606.5,919903,919903,0,1111728,1905,1413322
987581,4773,476 - 477,11,1999,0,250478,73204,0,303,14100,0,11597,16464,2713,3661,3960,2337,23,5458,8202,0,0,4386,155086,63512.1,1924725,177274,14,0,12,2,0,0,14,0,0,7,5,1,1,0,0,0,0,8,6,134019,31475,165494,23036.28,0,21067,209597.28,268048,146226,1674247,207137,1674247,1674247,0,1766802,2902,1981982
987536,4773,476 - 477,14,2010,0,679507,186529,0,0,12000,0,27989,1151,500,811,4328,391,126320,0,1586,0,0,11453,203738,88288,3734651,492978,20,0,20,0,0,0,20,0,0,4,16,0,0,0,0,0,0,4,16,203738,49152,252890,34380.48,0,0,287270.48,95259,85451,3055144,90355,3055144,3055144,0,3263300,0,3579194
986646,4773,476 - 477,14,2003,0,543088,355450.5,0,0,14400,0,228000,0,12431,36001,998,4833,3455,18799,35485,308,0,740.5,166526,69438,1645721,187637.5,12,0,0,12,0,2,14,0,0,0,0,10,2,0,0,0,2,10,4,0,33934,0,32022.48,0,155425,187447.48,904171,868330,1102633,886250.5,1102633,1102633,0,1478244,0,1730509
986575,4773,476 - 477,14,1985,0,1229520,261882,68,1819,6811,0,141381,2272,11470,28873,16696,5111,1766,8841,8077,0,0,28697,412666,171429,2828272,967638,26,1,18,8,0,1,28,1,0,8,10,2,6,0,0,0,1,11,17,326281,110064,414493,51941.32,0,81410,547844.32,256420,105156,1598752,180788,1598752,1598752,0,1929477,27048,2590604
986524,4773,476 - 477,14,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986521,4773,476 - 477,14,2010,0,122982,22396,0,0,1610,0,6211,0,0,1866,1538,1079,76,0,7826,0,0,2190,66909,26442,361712,100586,8,0,8,0,0,0,8,0,0,4,4,0,0,0,0,0,0,4,4,66909,14933,81842,10023.32,0,0,91865.32,298708,130168,238730,214438,238730,238730,0,263316,15199,375621
986409,4773,476 - 477,11,1988,0,295546,290095,157,7429,6318,0,198226,8484,2493,26970,1005,3355,29011,0,0,0,0,6647,283146,118190,499306,5451,22,0,22,0,0,0,22,0,0,20,2,0,0,0,0,0,0,20,2,283146,55946,339092,51273.6,0,0,390365.6,363098,360713,203760,361905.5,203760,203760,0,500917,46233,969515
986407,4773,476 - 477,14,1996,0,1945000,658253,0,0,187901,0,135320,30659,20682,107663,25733,1338,3160,24224,49615,0,0,71958,631005,246253,5872610,1286747,29,0,29,0,0,1,30,0,0,26,3,0,0,0,0,1,0,27,3,621068,139833,760901,90348,0,0,851249,4654178,5568913,3927610,5111545.5,3927610,3927610,0,4696953,66921,5692200
986406,4773,476 - 477,14,2003,0,14150352,6085160,386,293734,932565,96088,1589723,104194,3274,483607,142496,49651,290317,218036,782909,0,0,156698,1414404,738754,38280388,8065192,56,0,56,0,48,2,106,0,0,41,15,0,0,39,9,2,0,82,24,1397844,466408,1864252,244377.92,941482,0,2108629.92,8316766,10034791,24130036,9175778.5,24130036,24130036,0,29738245,900157,33855624
986403,4773,476 - 477,14,2011,0,5414950,2620884,0,0,100233,0,2087293,866,16235,102482,22217,1110,53402,51302,124398,0,0,61346,645379,349583,13723115,2794066,35,0,35,0,0,1,36,0,0,20,15,0,0,0,0,1,0,21,15,632379,147227,779606,169442,0,0,949048,5154948,5532621,8308165,5343784.5,8308165,8308165,0,11138802,285681,12519859
986362,4773,476 - 477,14,2011,0,605494,227732,0,0,40050,0,134728,0,3535,17800,17945,1308,800,2490,727,0,0,8349,207984,71548,1552547,377762,19,0,0,19,0,2,21,0,0,0,0,16,3,0,0,1,1,17,4,0,41532,0,25893.28,0,188784,214677.28,159321,104487,947053,131904,947053,947053,0,1204663,36954,1538426
986244,4773,476 - 477,11,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986167,4773,476 - 477,14,1992,0,2417221,457151,546,53050,32068,87807,0,3435,5767,10642,18359,4739,69659,31382,80651,302,0,58744,1053118,667731,3858880,1960070,42,0,42,0,0,1,43,0,0,25,17,0,0,0,0,0,1,25,18,1043796,229333,1273129,408940.88,0,0,1682069.88,234333,280643,1441659,257488,1441659,1441659,0,1985510,173882,4044355
986071,4773,476 - 477,14,2000,0,2917434,1860505.5,248,0,646481,0,305342,0,11372,16136,164591,10278,82175,521285,43091,0,0,59506.5,566361,242234,3677859,1056928.5,49,0,0,49,0,2,51,0,0,0,0,30,19,0,0,1,1,31,20,0,132350,0,96933.44,0,551457,648390.44,25503,145382,760425,85442.5,760425,760425,0,2825223,0,3741255
985520,4773,476 - 477,14,2011,0,4840786,1987290.5,2447,0,16015,0,1440000,4657,27565,60991,15718,13204,19481,68798,233323,0,0,85091.5,876742,361629,25001407,2853495.5,56,0,56,0,0,6,62,0,0,36,20,0,0,0,0,2,4,38,24,824090,200031,1024121,140296.72,0,0,1164417.72,2845839,2163473,20160621,2504656,20160621,20160621,0,22476635,6061,24001757
985509,4773,476 - 477,14,2011,0,476841,829198.5,0,17062,47975,0,266415,20254,3249,21728,12594,4297,198548,33222,8792,0,0,37963.5,521141,210907,1527294,-352357.5,20,2,20,0,5,1,28,1,1,10,10,0,0,3,2,1,0,15,13,513599,119885,633484,79144.4,157099,0,712628.4,501507,511834,1050453,506670.5,1050453,1050453,0,1813694,133155,2911025
985360,4773,476 - 477,11,2004,0,1526395,703413,138,42100,15000,0,277200,12000,15470,28620,34600,21360,26800,64150,137625,0,0,28350,489596,184597,4948244,822982,46,1,46,0,0,2,49,1,0,38,8,0,0,0,0,2,0,41,8,473496,112075,585571,62156.4,0,0,647727.4,385400,214369,3421849,299884.5,3421849,3421849,0,4190082,0,4919966
985276,4773,476 - 477,14,1976,0,715425,249132.5,0,8193,13680,0,132977,6139,3666,40684,12590,4616,2321,7663,11348,0,0,5255.5,295508,114576,6339780,466292.5,26,0,26,0,0,1,27,0,0,8,18,0,0,0,0,0,1,8,19,286283,67134,353417,41134.72,0,0,394551.72,150141,459953,5624355,305047,5624355,5624355,0,5898844,36503,6396815
985275,4773,476 - 477,14,2001,0,10986951,6294657,574,82517,50258,0,255427,52447,25354,75031,64352,19220,1414683,0,93014,0,606944,126954,726333,319907,55800800,4692294,18,0,18,0,159,1,178,0,0,8,10,0,0,63,96,0,1,71,107,716397,158568,874965,1137505.4,3427882,0,2012470.4,308942,2852566,44813849,1580754,44813849,44813849,0,48892470,479079,54911095
