V1,CORRELA_16,CORRELA_9,IDOJ1,IDAIO,CIMREP,BRUTA,CONSUI,GAS,EMPAQUE,HONORA,COMISION,ARRIENDO,SEGURO,ASEO,ENERGIA,COMUNICA,PUBLICO,FLETES,PUBLICI,ADECUA,REGALA,OUTSOURCING,OTROS,SUELDOS,PRESTAC,VENTA,AGREGA,PERREMUN,SOCIOS,PERSONOM,DIRECTO,AGENCIA,APRENDIZ,TOTPERSO,PROMUJ,PROHOM,PERMUJ,PERHOM,DIRMUJ,DIRHOM,AGEMUJ,AGEHOM,APRENMUJ,APRENHOM,TOTMUJ,TOTHOM,SUEPLAN,PREPLAN,REMPLAN,COTIZA,GASAGEN,REMTEMP,TOTREM,INVINI,INVFIN,ROTACION,INVPRO,CTO,CTOINS,VENTASNOP,GASTOS,GASTOSNOP,GASTOPNOP
987633,4759-4761,474 - 475,11,1991,0,732013,210052,1085,2071,4888,0,0,11696,1642,48221,8110,1641,57167,0,29785,0,0,43746,198679,85485,6407440,521961,17,1,17,0,0,1,19,0,1,7,10,0,0,0,0,1,0,8,11,189571,45583,235154,35881.2,0,0,271035.2,1120524,1280900,5675427,1200712,5675427,5675427,0,5964176,47592,6316996
987616,4759-4761,474 - 475,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986622,4759-4761,474 - 475,4,1993,0,357108,346336,0,1970,1290,0,329186,2264,161,3110,358,1,46,2000,5299,0,0,651,48960,27418,536200,10772,5,0,5,0,0,0,5,0,0,4,1,0,0,0,0,0,0,4,1,48960,13709,62669,11789.88,0,0,74458.88,163198,210298,179092,186748,179092,179092,0,526629,183846,788953
986590,4759-4761,476 - 477,12,2003,0,1945876,551551.5,0,0,29940,0,237448,12358,4561,33239,22502,5067,50749,5723,66978,0,0,82986.5,475056,264845,11125411,1394324.5,38,0,38,0,0,1,39,0,0,9,29,0,0,0,0,1,0,10,29,471744,112072,583816,128771.4,0,0,712587.4,2649393,3750020,9179535,3199706.5,9179535,9179535,0,9944257,287879,11076360
986574,4759-4761,474 - 475,14,1981,0,2728690,859154.5,0,66,229302,145055,191018,30399,32507,48110,30631,5235,3404,22857,77381,0,8322,34867.5,877228,429672,5621230,1869535.5,33,1,33,0,0,1,35,0,1,29,4,0,0,0,0,0,1,29,6,866128,240569,1106697,161444.04,0,0,1268141.04,907085,1015923,2892540,961504,2892540,2892540,0,3887961,252585,5478230
986350,4759-4761,476 - 477,11,2010,0,810532,33360,0,0,0,0,15000,3500,250,0,925,185,12000,1500,0,0,0,0,160774,31016,6778319,777172,13,0,0,13,0,3,16,0,0,0,0,7,6,0,0,0,3,7,9,0,28776,0,2115,0,140374,142489,1781612,1595674,5967787,1688643,5967787,5967787,0,6027147,2659,6221821
986271,4759-4761,474 - 475,11,2006,0,361226,140252,0,0,0,0,130399,0,1320,1600,4464,1140,0,0,0,0,0,1329,136806,52852,688827,220974,11,0,10,1,0,1,12,0,0,8,2,1,0,0,0,0,1,9,3,115547,27719,140770,22381.72,0,11433,174584.72,763851,641834,327601,702842.5,327601,327601,0,476042,0,675985
986253,4759-4761,474 - 475,11,1996,0,3380107,698531,350,0,0,0,388982,5418,2135,80417,22198,12332,5002,35485,59378,0,0,86834,611530,238480,5077826,2681576,38,0,38,0,0,0,38,0,0,26,12,0,0,0,0,0,0,26,12,611530,138003,749533,87221.8,0,0,836754.8,146749,143626,1697719,145187.5,1697719,1697719,0,2543944,345971,3897663
986220,4759-4761,474 - 475,4,1987,0,6172228,5359911.5,223,0,130884,0,1909204,8768,25130,181472,151807,60192,31327,106369,55164,0,0,2699371.5,2243452.4,1056180.6,16228454,812316.5,106,0,106,0,0,0,106,0,0,75,31,0,0,0,0,0,0,75,31,2243452.4,625470.6,2868923,367353.84,0,0,3236276.84,2963106,2601266,10056226,2782186,10056226,10056226,0,18590302,214,22413681
986087,4759-4761,474 - 475,13,2000,0,1076713,247125.5,0,0,81069,0,40000,1483,1480,560,13005,680,710,27694,15252,0,0,31399.5,238223,140500,1646288,829587.5,23,0,23,0,1,1,25,0,0,16,7,0,0,0,1,0,1,16,9,231474,59876,291350,67511.04,33793,0,358861.04,194625,227858,569575,211241.5,569575,569575,0,823948,24939,1302760
