V1,CORRELA_16,CORRELA_9,IDOJ1,IDAIO,CIMREP,BRUTA,CONSUI,GAS,EMPAQUE,HONORA,COMISION,ARRIENDO,SEGURO,ASEO,ENERGIA,COMUNICA,PUBLICO,FLETES,PUBLICI,ADECUA,REGALA,OUTSOURCING,OTROS,SUELDOS,PRESTAC,VENTA,AGREGA,PERREMUN,SOCIOS,PERSONOM,DIRECTO,AGENCIA,APRENDIZ,TOTPERSO,PROMUJ,PROHOM,PERMUJ,PERHOM,DIRMUJ,DIRHOM,AGEMUJ,AGEHOM,APRENMUJ,APRENHOM,TOTMUJ,TOTHOM,SUEPLAN,PREPLAN,REMPLAN,COTIZA,GASAGEN,REMTEMP,TOTREM,INVINI,INVFIN,ROTACION,INVPRO,CTO,CTOINS,VENTASNOP,GASTOS,GASTOSNOP,GASTOPNOP
980258,4741-4742,474 - 475,11,2002,0,345346,51457,0,0,6380,0,16933,2035,797,3000,2734,590,0,0,0,0,0,18988,100754,50802,1248496,293889,11,1,11,0,0,0,12,0,1,5,6,0,0,0,0,0,0,5,7,100754,34556,135310,14039.6,0,0,149349.6,888466,1151155,903150,1019810.5,903150,903150,0,979865,92917,1236144
980124,4741-4742,474 - 475,11,2006,0,148699,50359,32,0,7938,0,0,631,1625,16277,1329,4892,120,72,3250,0,0,14193,86921,35444,478261,98340,7,1,7,0,0,0,8,0,1,2,5,0,0,0,0,0,0,2,6,86921,20609,107530,12821.8,0,0,120351.8,487000,481000,329562,484000,329562,329562,0,396633,72390,601909
980111,4741-4742,474 - 475,11,1997,0,64400,17296,0,0,0,0,0,0,0,1043,1839,440,5224,0,8000,0,0,750,18219,9157,257241,47104,2,2,2,0,0,0,4,1,1,2,0,0,0,0,0,0,0,3,1,18219,4788,23007,3960.76,0,0,26967.76,187396,152341,192841,169868.5,192841,192841,0,214003,8443,251957
979934,4741-4742,474 - 475,14,1997,0,468214,124430,0,0,10820,0,76900,2524,3391,5161,4883,979,87,0,578,0,12122,6985,173591,58345,1995733,343784,10,0,10,0,0,0,10,0,0,4,6,0,0,0,0,0,0,4,6,173591,40098,213689,14282.76,0,0,227971.76,284265,276219,1527519,280242,1527519,1527519,0,1675891,26961,1991701
979508,4741-4742,474 - 475,14,2011,0,9268621,4850943.5,0,0,233068,0,1506126,66183,90454,396022,333450,29564,283103,613499,186551,0,0,27923.5,1691000,819651,59481334,4417677.5,66,1,66,0,45,4,116,0,1,32,34,0,0,18,27,2,2,52,64,1642000,476180,2118180,312110.44,1085000,0,2430290.44,9624567,9672902,50212713,9648734.5,50212713,50212713,0,54405579,1648706,59800980
967472,4741-4742,474 - 475,14,1983,0,6434768,2461963.5,3055,278633,180315,19193,385654,71679,71131,403870,251297,115882,342229,103480,160775,0,0,74770.5,1320987,702628,15951199,3972804.5,169,5,169,0,0,6,180,4,1,132,37,0,0,0,0,4,2,140,40,1270606,356487,1627093,318940.68,0,0,1946033.68,2580250,3723914,9516431,3152082,9516431,9516431,0,12170688,47390,14241693
967460,4741-4742,474 - 475,5,1989,0,2708336,712238.5,0,0,40869,29515,322604,42386,11634,118727,43128,18182,16761,38898,18939,0,0,10595.5,1325776,525190,9005214,1996097.5,96,2,22,74,0,5,103,1,1,10,12,43,31,0,0,3,2,57,46,343271,278136,418207,216047.24,0,930831,1565085.24,3819581,2510974,6296878,3165277.5,6296878,6296878,0,7175043,11439,9153876
967367,4741-4742,474 - 475,14,1986,0,19240396.67,7095957.833,0,33783.66667,201915.6667,310110.3333,1730282.667,131540,46061,404803.6667,223701,31321.33333,231907,353367.3333,192745.6667,0,0,917124.5,4560891.467,2039921.2,36924739.33,12144438.83,223,0.3333333333,168.6666667,54.33333333,120.3333333,9.666666667,353.3333333,0,0.3333333333,103.6666667,65,33.33333333,21,70.33333333,50,6,3.666666667,213.3333333,140,3354824.467,1012830.2,4137074.667,919766.0667,2287294,1115390.333,6172231.067,803739462.7,9863362,17684342.67,406801412.3,17684342.67,17684342.67,0,23767323.67,2456231,35561762
967325,4741-4742,474 - 475,14,1983,0,2110319,685390.5,0,0,24120,0,138875,28663,3049,100902,41752,10616,22263,175109,93624,1157,0,45260.5,482527,201004,10731201,1424928.5,43,1,43,0,0,2,46,1,0,21,22,0,0,0,0,1,1,23,23,464749,111269,576018,77819.88,0,0,653837.88,9543644,9962606,8620882,9753125,8620882,8620882,0,9480017,58700,10266799
967300,4741-4742,474 - 475,14,1978,0,3067049,959759,0,0,21754,1489,136418,48615,76933,193112,41831,7766,82863,12784,206836,0,0,129358,1151215,531423,14470633,2107290,82,2,82,0,0,4,88,1,1,43,39,0,0,0,0,3,1,47,41,1110268,312480,1422748,190044.76,0,0,1612792.76,20216816,21419000,11403584,20817908,11403584,11403584,0,12735717,177706,14938061
