V1,CORRELA_16,CORRELA_9,IDOJ1,IDAIO,CIMREP,BRUTA,CONSUI,GAS,EMPAQUE,HONORA,COMISION,ARRIENDO,SEGURO,ASEO,ENERGIA,COMUNICA,PUBLICO,FLETES,PUBLICI,ADECUA,REGALA,OUTSOURCING,OTROS,SUELDOS,PRESTAC,VENTA,AGREGA,PERREMUN,SOCIOS,PERSONOM,DIRECTO,AGENCIA,APRENDIZ,TOTPERSO,PROMUJ,PROHOM,PERMUJ,PERHOM,DIRMUJ,DIRHOM,AGEMUJ,AGEHOM,APRENMUJ,APRENHOM,TOTMUJ,TOTHOM,SUEPLAN,PREPLAN,REMPLAN,COTIZA,GASAGEN,REMTEMP,TOTREM,INVINI,INVFIN,ROTACION,INVPRO,CTO,CTOINS,VENTASNOP,GASTOS,GASTOSNOP,GASTOPNOP
987638,464,464-465,4,2005,0,1791816,395090.5,75,0,94128,0,21010,51191,16319,4360,16299,2761,14011,0,66392,0,0,108544.5,485286,223259,6959433,1396725.5,11,0,11,0,0,0,11,0,0,4,7,0,0,0,0,0,0,4,7,485286,107945,593231,101644.96,0,0,694875.96,798409,1962800,5167617,1380604.5,5167617,5167617,0,5848728,490454,7079705
987604,464,464-465,14,2012,0,1822965,674622,0,39311,2322,0,159527,0,1695,585,11227,1063,407107,120,140,0,42798,8727,680716,299794,7397335,1148343,29,0,29,0,0,2,31,0,0,13,16,0,0,0,0,2,0,15,16,660768,165014,825782,118814.4,0,0,944596.4,1213468,1971853,5574370,1592660.5,5574370,5574370,0,6329240,238694,7608551
987575,464,464-465,11,2006,0,986625,224476,20,4137,17175,0,101783,11009,6548,23554,6789,7358,4211,27701,6966,0,0,7225,396647,158135,5359491,762149,37,1,37,0,0,2,40,0,1,12,25,0,0,0,0,1,1,13,27,389056,92910,481966,56510.28,0,0,538476.28,830860,1728202,4372866,1279531,4372866,4372866,0,4636871,219617,5465884
987546,464,464-465,2,2008,0,633313,116153.5,21389,0,21908,0,47040,2326,753,1852,2285,845,2087,0,7543,0,0,8125.5,197162,82239,3799452,517159.5,14,0,14,0,0,0,14,0,0,2,12,0,0,0,0,0,0,2,12,197162,50245,247407,27293.92,0,0,274700.92,326184,319272,3166139,322728,3166139,3166139,0,3302247,21174,3618297
987538,464,464-465,11,1985,0,1337192,172596,0,3012,61920,0,0,6287,8109,3363,11584,1598,26565,10689,15666,0,0,23803,230012,103444,5472114,1164596,16,1,16,0,0,1,18,0,1,11,5,0,0,0,0,1,0,12,6,221504,61278,282782,37025.2,0,0,319807.2,998032,1252509,4134922,1125270.5,4134922,4134922,0,4378026,302496,5072673
986625,464,464-465,14,1992,0,1650143,671461,0,1527,104052,0,99157,7083,21786,54991,3783,3266,0,2908,48036,0,0,19798,314737,126044,9442008,978682,30,1,0,30,13,2,46,1,0,0,0,18,12,6,7,1,1,26,20,0,74937,0,44590.84,305074,301555,346145.84,879624,1042951,7791865,961287.5,7791865,7791865,0,8299494,33880,9109824
986606,464,464-465,14,2000,0,154127,73296,0,0,10857,0,0,1076,1800,7842,12655,1476,34375,0,1310,0,0,1905,59682,26097,769983,80831,6,1,6,0,0,0,7,0,1,1,5,0,0,0,0,0,0,1,6,59682,15296,74978,9446.36,0,0,84424.36,981,80730,615856,40855.5,615856,615856,0,706852,4225,803842
986589,464,464-465,5,2004,0,1539766,308162.5,0,0,15657,0,59848,44991,31883,16146,11801,786,82738,0,22971,0,0,21341.5,408252,171405,10386880,1231603.5,29,0,23,6,0,1,30,0,0,3,20,5,1,0,0,1,0,9,21,324059,88392,394795,76297.12,0,80881,551973.12,822778,1078578,8847114,950678,8847114,8847114,0,9219663,44475,9885621
986586,464,464-465,14,2013,0,1016316,425772.5,0,788,21833,0,295825,14461,821,21485,1095,1414,6433,1300,32579,0,0,27738.5,310482,130484,5751353,590543.5,20,2,6,14,0,1,23,2,0,3,3,5,9,0,0,0,1,10,13,150966,74621,187678,48745.96,0,154547,390970.96,2159630,2901976,4735037,2530803,4735037,4735037,0,5263528,189381,5921466
986582,464,464-465,14,2004,0,16079780,4180975,1033,2307,287527,0,416453,24771,1346,158121,77215,6855,127614,0,89778,0,1492268,21700,453462,179601,27743842,11898805,27,0,11,16,83,0,110,0,0,4,7,10,6,63,20,0,0,77,33,275103,93444,332875,75999.72,1473987,178359,587233.72,620503,1178653,11664062,899578,11664062,11664062,0,14587030,152700,16902825
986572,464,464-465,3,1982,0,222924,452981,0,0,162136,278,80939,107803,37,14160,33182,2304,9906,0,16907,0,0,25329,160108,64413,1165418,-230057,7,0,7,0,0,0,7,0,0,2,5,0,0,0,0,0,0,2,5,160108,36858,196966,23856.76,0,0,220822.76,4774589,4018211,942494,4396400,942494,942494,0,1458066,16499,1771618
986542,464,464-465,4,2009,0,6583899,4269267,0,9847,53537,0,420253,77291,86130,81045,54533,12338,528120,957291,188693,0,0,174445,798329,407156,39639313,2314632,42,0,42,0,77,2,121,0,0,20,22,0,0,51,26,2,0,73,48,779457,215258,994715,167595.12,1625744,0,1162310.12,6876413,4924360,33055414,5900386.5,33055414,33055414,0,36036800,1468898,40431415
986523,464,464-465,14,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986520,464,464-465,14,2014,0,2436760,2405316,229,0,10250,218852,120000,11225,135371,27671,48136,3479,695999,22590,54929,0,0,63939,880989,349279,23438303,31444,75,3,0,75,62,5,145,2,1,0,0,40,35,62,0,1,4,105,40,0,199510,0,130034.6,992646,831290,961324.6,598622,412103,21001543,505362.5,21001543,21001543,0,22703005,5547,24992226
986518,464,464-465,14,2010,0,1614952,483169,533,6189,100978,0,105628,17064,5190,41717,18805,4024,59669,17877,32087,0,0,73408,795608,325159,8006350,1131783,29,0,29,0,0,1,30,0,0,16,13,0,0,0,0,0,1,16,14,784787,167196,951983,134142.28,0,0,1086125.28,875878,768548,6391398,822213,6391398,6391398,0,7019863,218242,8395581
986507,464,464-465,14,2011,0,855897,130120,0,0,13626,0,44504,6222,0,19524,3718,3506,15149,1773,12873,0,0,9225,229421,102737,1861846,725777,12,1,9,3,0,1,14,1,0,2,7,1,2,0,0,1,0,5,9,187164,52299,232270,45184.08,0,33933,311387.08,3516963,3629820,1005949,3573391.5,1005949,1005949,0,1175281,57812,1594522
