V1,CORRELA_16,CORRELA_9,IDOJ1,IDAIO,CIMREP,BRUTA,CONSUI,GAS,EMPAQUE,HONORA,COMISION,ARRIENDO,SEGURO,ASEO,ENERGIA,COMUNICA,PUBLICO,FLETES,PUBLICI,ADECUA,REGALA,OUTSOURCING,OTROS,SUELDOS,PRESTAC,VENTA,AGREGA,PERREMUN,SOCIOS,PERSONOM,DIRECTO,AGENCIA,APRENDIZ,TOTPERSO,PROMUJ,PROHOM,PERMUJ,PERHOM,DIRMUJ,DIRHOM,AGEMUJ,AGEHOM,APRENMUJ,APRENHOM,TOTMUJ,TOTHOM,SUEPLAN,PREPLAN,REMPLAN,COTIZA,GASAGEN,REMTEMP,TOTREM,INVINI,INVFIN,ROTACION,INVPRO,CTO,CTOINS,VENTASNOP,GASTOS,GASTOSNOP,GASTOPNOP
987639,473,473,5,2004,0,714310,171772.5,0,0,8789,0,0,10225,30851,20182,3563,3122,15487,71,54973,2520,0,21989.5,357119,163629,7830150,542537.5,16,0,16,0,0,0,16,0,0,6,10,0,0,0,0,0,0,6,10,357119,92893,450012,61993.28,0,0,512005.28,127174,128782,7115840,127978,7115840,7115840,0,7342048,43194,7942309
987621,473,473,14,2011,0,821442,89191,0,0,4285,0,0,12376,1361,17203,5437,4094,13668,0,28524,0,0,2243,212362,98680,8625018,732251,14,0,14,0,0,0,14,0,0,4,10,0,0,0,0,0,0,4,10,212362,54632,266994,38871.36,0,0,305865.36,167904,166093,7803576,166998.5,7803576,7803576,0,7902761,92763,8334858
987599,473,473,2,2003,0,45999,23951,0,0,10000,0,0,0,150,1020,1200,720,0,0,5800,0,0,5061,19874,7153,535579,22048,2,4,2,0,0,0,6,3,1,0,2,0,0,0,0,0,0,3,3,19874,4173,24047,2535.36,0,0,26582.36,143800,0,489580,71900,489580,489580,0,530692,652,563471
987588,473,473,3,2002,0,885253,386473,0,308,54972,0,112599,14437,53514,21185,7762,2740,50738,0,33643,0,0,34575,280572,120040,8520997,498780,11,0,11,0,0,0,11,0,0,3,8,0,0,0,0,0,0,3,8,280572,65944,346516,47606.72,0,0,394122.72,109390,134527,7635744,121958.5,7635744,7635744,0,8081363,51910,8559948
987572,473,473,11,1986,0,601159,247840,0,0,2640,0,124356,13932,0,19139,1691,11904,625,5503,28581,0,0,39469,229594,92577,8016993,353319,13,0,13,0,0,0,13,0,0,3,10,0,0,0,0,0,0,3,10,229594,49104,278698,38161.4,0,0,316859.4,169823,183006,7415834,176414.5,7415834,7415834,0,7720036,35564,8090344
987541,473,473,5,2002,22169,1314697,592256.5,0,0,21600,13223,0,3127,2279,41211,7653,4992,471958,2597,6340,0,0,17276.5,208039,87379,9654115,722440.5,14,0,14,0,0,0,14,0,0,3,11,0,0,0,0,0,0,3,11,208039,47829,255868,34889.68,0,0,290757.68,323473,302756,8317249.071,313114.5,8317249,8339418,0,8974622,0,9286987
986649,473,473,11,1980,0,1519019,684359,1005,0,19568,0,10641,97042,93894,69515,12585,25545,8858,0,280337,0,0,65369,341204,145584,8080532,834660,28,2,0,28,0,1,31,1,1,0,0,4,24,0,0,1,0,6,25,0,89452,0,50278.88,0,334580,384858.88,593740,12300,6561513,303020,6561513,6561513,0,7429698,1168,7952558
986638,473,473,11,2011,0,315138,141266,0,0,12000,0,2000,0,2600,14400,600,3600,1500,0,13200,0,0,11950,0,0,4591390,173872,0,1,0,0,5,0,6,1,0,0,0,0,0,1,4,0,0,2,4,0,0,0,0,79416,0,0,209794,47830,4276252,128812,4276252,4276252,0,4355560,0,4434976
986596,473,473,14,2002,0,4203327,1758744.5,0,0,100335,0,58256,27683,118077,44723,17108,23906,189375,5650,188547,0,0,92231.5,606588,251847,33688266,2444582.5,3,0,3,0,41,0,44,0,0,0,3,0,0,9,32,0,0,9,35,606588,132416,739004,94725.48,892853,0,833729.48,331517,389179,29484939,360348,29484939,29484939,0,30570997,329886,32941955
986558,473,473,14,2008,0,517764,150391,0,0,14500,0,0,2925,180,47077,2958,4809,56386,1547,7410,0,0,12599,124238,53275,4028661,367373,9,0,3,6,0,0,9,0,0,3,0,2,4,0,0,0,0,5,4,61585,29774,75641,20662.36,0,62653,158956.36,69949,76581,3510897,73265,3510897,3510897,0,3693860,21591,3904470
986547,473,473,5,2010,0,2801475,1698515,1963,0,23344,0,1149764,14093,108336,30296,11108,12614,217436,615,55607,0,47898,25441,473999,194132,20412768,1102960,31,1,31,0,0,1,33,1,0,11,20,0,0,0,0,1,0,13,20,464282,107471,571753,76491.4,0,0,648244.4,103540,132779,17611293,118159.5,17611293,17611293,0,19431210,28122,20190186
986536,473,473,14,2011,0,3088256,553058.5,0,0,20544,0,0,104473,161742,87007,14119,22192,31714,0,87801,0,0,23466.5,606203,296692,29219334,2535197.5,36,0,36,0,0,1,37,0,0,4,32,0,0,0,0,1,0,5,32,595870,156251,752121,121318.12,0,0,873439.12,175127,327162,26131078,251144.5,26131078,26131078,0,26734348,102099,27769042
986512,473,473,14,2011,0,204368,59711.5,0,0,0,0,6900,0,610,5678,746,900,200,0,0,0,0,3965.5,17600,5675,717955,144656.5,2,0,0,2,6,0,8,0,0,0,0,1,1,2,4,0,0,3,5,0,3560,0,1719.64,40712,17600,19319.64,277801,257809,513587,267805,513587,513587,0,537050,225,601937
986503,473,473,14,2012,0,1888072,1231892.5,23144,442,65867,0,24768,1793,6523,419170,6061,13349,114629,0,418221,0,0,137925.5,507690,189714,25871126,656179.5,41,1,41,0,0,1,43,0,1,10,31,0,0,0,0,1,0,11,32,500783,104371,605154,74966.76,0,0,680120.76,97254,194617,23983054,145935.5,23983054,23983054,0,25383744,233237,26427398
986499,473,473,14,2012,0,2204473,532397,0,0,6571,0,0,18469,26283,221409,6103,7717,115901,9080,96258,0,0,24606,308780,131438,12756104,1672076,22,1,22,0,0,1,24,0,1,12,10,0,0,0,0,1,0,13,11,298787,71133,369920,53234.44,0,0,423154.44,246905,176847,10551631,211876,10551631,10551631,0,11163669,0,11666838
986468,473,473,14,1998,0,1140696,565643,0,0,0,0,0,4309,61643,255022,10746,31017,106714,6632,51310,0,0,38250,293668,112028,14999405,575053,15,0,15,0,0,1,16,0,0,0,15,0,0,0,0,1,0,1,15,282868,61025,343893,44952.2,0,0,388845.2,163176,196643,13858709,179909.5,13858709,13858709,0,14478962,222905,15125062
986451,473,473,14,2007,0,2171801,1114362,0,0,60917,0,47752,44113,11986,98978,16926,38526,60479,10772,427867,0,0,296046,705883,403058,21127215,1057439,53,0,53,0,0,2,55,0,0,13,40,0,0,0,0,2,0,15,40,686320,221672,907992,160916.32,0,0,1068908.32,126210,108491,18955414,117350.5,18955414,18955414,0,20607193,84966,22117154
986377,473,473,4,2006,0,4404898,534760,0,0,19000,0,224500,30150,1903,47198,24312,2533,114567,439,48000,0,0,22158,479287,210208,20022500,3870138,39,3,38,1,0,1,43,0,3,8,30,0,1,0,0,1,0,9,34,461251,117398,576563,81833.44,0,9936,668332.44,203493,309415,15617602,256454,15617602,15617602,0,16217732,0,16948327
986355,473,473,11,2010,0,986292,751073.5,0,0,0,0,0,4565,1656,25365,3350,1850,382186,0,265030,0,0,67071.5,153912,76821,6862604,235218.5,13,1,13,0,0,0,14,1,0,1,12,0,0,0,0,0,0,2,12,153912,37161,191073,36342.56,0,0,227415.56,169658,216318,5876312,192988,5876312,5876312,0,6705829,0,6952863
986337,473,473,13,2006,0,1533908,244221.5,0,0,2151,0,790,12108,4940,55596,4165,13538,7160,240,62369,0,0,81164.5,348103,193241,10094748,1289686.5,21,0,21,0,0,1,22,0,0,4,17,0,0,0,0,1,0,5,17,339601,76150,415751,101385.24,0,0,517136.24,577321,356742,8560840,467031.5,8560840,8560840,0,9118283,247549,9933096
986317,473,473,14,2003,0,6042827,735067,0,0,55603,0,32436,59086,2905,101189,14482,4077,36926,0,404446,0,0,23917,731376,413076,44998805,5307760,62,2,62,0,0,3,67,1,1,7,55,0,0,0,0,1,2,9,58,703224,185785,889009,208817.16,0,0,1097826.16,893316,381848,38955978,637582,38955978,38955978,0,39851580,251415,41346873
986313,473,473,4,2007,0,2143374,693570.5,0,0,2700,0,6980,39969,0,14755,12624,716,318269,350,107775,0,0,189432.5,153477,62143,14333519,1449803.5,12,2,12,0,0,0,14,0,2,3,9,0,0,0,0,0,0,3,11,153477,33473,186950,25232.16,0,0,212182.16,154326,150425,12190145,152375.5,12190145,12190145,0,13100837,35272,13354349
986062,473,473,14,2001,0,992493,276484.5,145,0,93060,0,7684,4162,2553,102139,6373,17579,4846,0,30683,0,0,7260.5,261254,110163,15088648,716008.5,18,4,18,0,0,1,23,1,3,5,13,0,0,0,0,0,1,6,17,250728,72811,323539,32297.44,0,0,355836.44,706456,777859,14096155,742157.5,14096155,14096155,0,14408199,0,14802194
